Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Left,surprise,147.0,66,1.4549169106114674,0.17908789177821008,72,16,0.9660917830792959,0.24152294576982397,2.227272727272727,4.5
Left,disgust,98.0,66,1.571304448220544,0.19341420731392447,58,16,1.6278820596099706,0.40697051490249264,1.4848484848484849,3.625
Left,trust,162.0,66,1.8244646690663342,0.22457607635448995,57,16,1.1528949070347507,0.2882237267586877,2.4545454545454546,3.5625
Left,anticipation,221.0,66,1.2948706409097308,0.1593875578149429,89,16,1.0935416468216166,0.27338541170540415,3.3484848484848486,5.5625
Left,negative_sentiment,255.0,66,2.410785787225425,0.29674721698136197,108,16,0.9309493362512627,0.2327373340628157,3.8636363636363638,6.75
Left,positive_sentiment,120.0,66,1.5282880408039368,0.18811925358843987,38,16,0.6191391873668903,0.15478479684172258,1.8181818181818181,2.375
Center,joy,100.0,175,0.9554957275602431,0.0722286878259751,44,46,0.5560384374855326,0.0819833949201794,0.5714285714285714,0.9565217391304348
Center,sadness,419.0,175,1.8628156381688017,0.1408156261987637,248,46,1.144615624363145,0.16876436670156103,2.394285714285714,5.391304347826087
Center,anger,199.0,175,0.972934214231196,0.07354691351090811,96,46,0.5508009100501534,0.08121116362969216,1.1371428571428572,2.0869565217391304
Center,fear,762.0,175,2.2128598619146462,0.16727648231036812,314,46,0.7973385681569226,0.11756115820680145,4.354285714285714,6.826086956521739
Center,surprise,377.0,175,1.5477723809351134,0.11700059445967541,172,46,0.7727233976497426,0.1139318493161365,2.1542857142857144,3.739130434782609
Center,disgust,250.0,175,1.28844810612127,0.09739752188597255,142,46,0.7838958818766614,0.11557914224566312,1.4285714285714286,3.0869565217391304
Center,trust,413.0,175,1.8199406331103158,0.13757458046032398,178,46,1.0024125487414832,0.14779766706066044,2.36,3.869565217391304
Center,anticipation,616.0,175,1.4771827799961796,0.11166452219591226,247,46,0.9275701986534237,0.13676276456044734,3.52,5.369565217391305
Center,negative_sentiment,704.0,175,2.363404629975957,0.17865659709528603,306,46,0.8998121113592505,0.13267005787067604,4.022857142857143,6.6521739130434785
Center,positive_sentiment,285.0,175,1.4949284818497668,0.11300597116576624,105,46,0.6553385377297879,0.09662439594656978,1.6285714285714286,2.282608695652174
