Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Scientific,positive_sentiment,1043.0,462,1.6974834537023455,0.07897407755413481,385,134,1.036344368920464,0.08952651783394296,2.257575757575758,2.873134328358209
Lean Right,joy,847.0,860,1.1734368337330556,0.040013863916604955,286,272,0.7666465332086446,0.0464847740284241,0.9848837209302326,1.0514705882352942
Lean Right,sadness,1684.0,860,1.7965472716436033,0.06126175349260303,1226,272,1.5319298950624833,0.09288689365270585,1.958139534883721,4.507352941176471
Lean Right,anger,858.0,860,1.172043055086698,0.03996633645924042,576,272,1.127049660708655,0.06833742347674017,0.9976744186046511,2.1176470588235294
Lean Right,fear,2742.0,860,2.1042348012688725,0.0717538111691074,1516,272,1.2308000154771472,0.07462821276211955,3.188372093023256,5.573529411764706
Lean Right,surprise,1415.0,860,1.314746395845463,0.044832479990290615,855,272,0.970806505046674,0.05886379062270825,1.6453488372093024,3.1433823529411766
Lean Right,disgust,1024.0,860,1.399619764344693,0.04772663783470393,783,272,1.210343374061411,0.07338784668414211,1.1906976744186046,2.8786764705882355
Lean Right,trust,2952.0,860,2.1446764837922703,0.07313286109708836,1146,272,1.330361259569652,0.08066499990346218,3.432558139534884,4.213235294117647
Lean Right,anticipation,2751.0,860,1.4088522881207513,0.04804146428241885,1195,272,1.0847961160579298,0.0657754260112741,3.1988372093023254,4.393382352941177
Lean Right,negative_sentiment,2666.0,860,2.323489407502285,0.07923033118680814,1556,272,1.4512556033084398,0.08799529620897324,3.1,5.720588235294118
Lean Right,positive_sentiment,2043.0,860,1.8027553640369025,0.06147344768616002,657,272,1.066177686877595,0.0646465179216623,2.375581395348837,2.4154411764705883
Left,joy,127.0,206,0.9231544106106945,0.06431921551613909,60,62,0.5716740426147326,0.07260267601478336,0.616504854368932,0.967741935483871
Left,sadness,519.0,206,2.0852821416368803,0.14528849121911436,343,62,1.387505627641624,0.17621339092396526,2.5194174757281553,5.532258064516129
Left,anger,272.0,206,1.4122363668189695,0.09839517007460233,177,62,1.6381394303389116,0.2080439156970615,1.3203883495145632,2.8548387096774195
Left,fear,791.0,206,2.165937629704692,0.15090802535117917,393,62,1.186585518628795,0.15069651156244387,3.8398058252427183,6.338709677419355
Left,surprise,437.0,206,1.526938622909915,0.10638685493783169,248,62,0.9750998267516755,0.12383780183532654,2.121359223300971,4.0
Left,disgust,326.0,206,1.7559613965680658,0.12234362768105872,220,62,1.5751910563779468,0.20004946420956346,1.5825242718446602,3.5483870967741935
Left,trust,506.0,206,1.8755250271317587,0.13067402055328783,213,62,1.182120458508402,0.15012944836009048,2.4563106796116503,3.435483870967742
Left,anticipation,645.0,206,1.4132839547741862,0.0984681589859797,304,62,1.3635738652088072,0.17317405405565917,3.1310679611650487,4.903225806451613
Left,negative_sentiment,812.0,206,2.4646782512756413,0.17172227072702706,410,62,1.2194440914287834,0.1548695544810874,3.941747572815534,6.612903225806452
Left,positive_sentiment,368.0,206,1.5812960750022205,0.1101741180823801,135,62,0.8400662258902831,0.10668851737663668,1.7864077669902914,2.1774193548387095
Right,joy,576.0,585,1.4291854769422456,0.059089547103760916,209,189,0.9727226482634552,0.0707551613629395,0.9846153846153847,1.1058201058201058
Right,sadness,1368.0,585,2.087546495005386,0.0863094251502085,892,189,1.640798920183828,0.11935055955466979,2.3384615384615386,4.71957671957672
