Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Scientific,trust,232.0,71,2.0351043952083585,0.24152245687429746,82,19,1.5653409844697797,0.3591138507098021,3.267605633802817,4.315789473684211
Scientific,anticipation,226.0,71,1.3970362420386297,0.16579769878835143,94,19,0.9703197760719181,0.22260662351665822,3.183098591549296,4.947368421052632
Scientific,negative_sentiment,214.0,71,2.02479598793472,0.24029907400654282,106,19,1.3870748387117167,0.31821679205643955,3.0140845070422535,5.578947368421052
Scientific,positive_sentiment,156.0,71,1.6786024655720446,0.19921346175398816,53,19,0.8549819600709617,0.196146313815771,2.1971830985915495,2.789473684210526
Center,joy,100.0,175,0.9554957275602431,0.0722286878259751,44,46,0.5560384374855326,0.0819833949201794,0.5714285714285714,0.9565217391304348
Center,sadness,419.0,175,1.8628156381688017,0.1408156261987637,248,46,1.144615624363145,0.16876436670156103,2.394285714285714,5.391304347826087
Center,anger,199.0,175,0.972934214231196,0.07354691351090811,96,46,0.5508009100501534,0.08121116362969216,1.1371428571428572,2.0869565217391304
Center,fear,762.0,175,2.2128598619146462,0.16727648231036812,314,46,0.7973385681569226,0.11756115820680145,4.354285714285714,6.826086956521739
Center,surprise,377.0,175,1.5477723809351134,0.11700059445967541,172,46,0.7727233976497426,0.1139318493161365,2.1542857142857144,3.739130434782609
Center,disgust,250.0,175,1.28844810612127,0.09739752188597255,142,46,0.7838958818766614,0.11557914224566312,1.4285714285714286,3.0869565217391304
Center,trust,413.0,175,1.8199406331103158,0.13757458046032398,178,46,1.0024125487414832,0.14779766706066044,2.36,3.869565217391304
Center,anticipation,616.0,175,1.4771827799961796,0.11166452219591226,247,46,0.9275701986534237,0.13676276456044734,3.52,5.369565217391305
Center,negative_sentiment,704.0,175,2.363404629975957,0.17865659709528603,306,46,0.8998121113592505,0.13267005787067604,4.022857142857143,6.6521739130434785
Center,positive_sentiment,285.0,175,1.4949284818497668,0.11300597116576624,105,46,0.6553385377297879,0.09662439594656978,1.6285714285714286,2.282608695652174
